"","Team_Id","Team_Name","Season","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS","Seed"
"66",1106,"Alabama State",2004,"SWAC","16","15","61.4","61.7","-0.29","-10.78","-12.51","1.41","-11.10",16
"67",1106,"Alabama State",2005,"SWAC","15","15","58.0","61.3","-3.33","-11.66","-15.67","0.67","-14.99",NA
"68",1106,"Alabama State",2006,"SWAC","12","18","66.2","70.6","-4.40","-8.58","-7.27","-5.71","-12.98",NA
"69",1106,"Alabama State",2007,"SWAC","10","20","60.9","66.9","-6.03","-11.54","-14.01","-3.89","-17.90",NA
"70",1106,"Alabama State",2008,"SWAC","20","11","71.0","65.0","6.00","-12.70","-4.64","-3.10","-7.73",NA
"71",1106,"Alabama State",2009,"SWAC","22","10","68.8","63.3","5.53","-11.20","-5.83","-0.30","-6.13",16
"72",1106,"Alabama State",2010,"SWAC","16","15","64.5","65.9","-1.45","-12.02","-9.97","-4.44","-14.41",NA
"73",1106,"Alabama State",2011,"SWAC","17","18","61.3","63.8","-2.51","-10.31","-11.22","-2.15","-13.37",16
"74",1106,"Alabama State",2012,"SWAC","12","19","59.4","64.4","-5.00","-9.96","-13.06","-2.73","-15.79",NA
"75",1106,"Alabama State",2013,"SWAC","10","22","61.8","69.7","-7.88","-9.01","-8.71","-9.18","-17.88",NA
"76",1106,"Alabama State",2014,"SWAC","19","13","70.8","69.5","1.25","-11.40","-5.75","-7.09","-12.84",NA
"77",1106,"Alabama State",2015,"SWAC","19","10","72.1","66.8","5.28","-12.71","-2.28","-6.69","-8.97",NA
"78",1106,"Alabama State",2016,"SWAC","14","17","71.5","74.5","-2.94","-9.35","-5.05","-8.06","-13.11",NA
"79",1106,"Alabama State",2017,"SWAC","8","23","65.9","74.4","-8.48","-10.75","-11.41","-8.34","-19.75",NA
"80",1107,"Albany (NY)",2003,"AEC","7","21","65.9","75.7","-9.79","-5.09","-5.58","-9.29","-14.87",NA
"81",1107,"Albany (NY)",2004,"AEC","5","23","57.9","65.8","-7.86","-7.47","-12.98","-2.35","-15.33",NA
"82",1107,"Albany (NY)",2005,"AEC","13","15","67.4","64.7","2.68","-5.31","-1.53","-1.10","-2.63",NA
"83",1107,"Albany (NY)",2006,"AEC","21","11","68.6","64.5","4.03","-4.25","-0.45","0.01","-0.44",16
"84",1107,"Albany (NY)",2007,"AEC","23","10","67.9","65.1","2.85","-4.75","-1.94","0.34","-1.60",13
"85",1107,"Albany (NY)",2008,"AEC","15","15","68.3","66.4","1.87","-5.92","-3.21","-0.84","-4.05",NA
"86",1107,"Albany (NY)",2009,"AEC","15","16","64.0","65.7","-1.74","-4.11","-6.44","-0.19","-6.63",NA
"87",1107,"Albany (NY)",2010,"AEC","7","25","62.7","69.1","-6.41","-5.53","-7.99","-3.94","-11.94",NA
"88",1107,"Albany (NY)",2011,"AEC","16","16","62.9","64.0","-1.09","-5.96","-7.07","0.01","-7.05",NA
"89",1107,"Albany (NY)",2012,"AEC","19","15","72.1","69.1","3.00","-6.92","2.65","-6.57","-3.92",NA
"90",1107,"Albany (NY)",2013,"AEC","24","11","64.3","60.7","3.66","-4.53","-3.31","2.44","-0.87",15
"91",1107,"Albany (NY)",2014,"AEC","19","15","65.9","63.9","1.91","-5.22","-6.24","2.93","-3.31",16
"92",1107,"Albany (NY)",2015,"AEC","24","9","65.3","60.5","4.85","-5.18","-3.20","2.86","-0.34",14
"93",1107,"Albany (NY)",2016,"AEC","24","9","75.6","66.1","9.55","-7.57","-1.41","2.34","0.93",NA
"94",1107,"Albany (NY)",2017,"AEC","21","14","71.3","65.7","5.57","-4.69","-3.34","3.18","-0.16",NA
"95",1108,"Alcorn State",2003,"SWAC","14","19","69.1","73.1","-4.03","-8.36","-5.19","-7.21","-12.39",NA
"96",1108,"Alcorn State",2004,"SWAC","11","18","64.0","72.3","-8.38","-11.79","-9.89","-10.28","-20.17",NA
"97",1108,"Alcorn State",2005,"SWAC","7","22","57.8","69.5","-11.69","-11.31","-16.09","-7.51","-23.59",NA
"98",1108,"Alcorn State",2006,"SWAC","8","20","66.0","73.1","-7.07","-8.03","-6.36","-8.75","-15.11",NA
"99",1108,"Alcorn State",2007,"SWAC","11","19","67.1","75.5","-8.43","-13.23","-9.24","-13.23","-22.48",NA
"100",1108,"Alcorn State",2008,"SWAC","7","24","67.7","78.9","-11.13","-11.47","-6.78","-16.34","-23.12",NA
"101",1108,"Alcorn State",2009,"SWAC","6","25","69.5","83.5","-13.94","-10.26","-4.08","-21.47","-25.55",NA
"102",1108,"Alcorn State",2010,"SWAC","2","29","60.6","82.0","-21.35","-9.00","-11.49","-18.87","-30.36",NA
"103",1108,"Alcorn State",2011,"SWAC","4","24","65.6","80.6","-15.00","-8.02","-5.29","-17.72","-23.02",NA
"104",1108,"Alcorn State",2012,"SWAC","10","22","60.2","67.1","-6.94","-10.61","-10.72","-8.86","-19.57",NA
"105",1108,"Alcorn State",2013,"SWAC","10","24","60.4","66.1","-5.68","-7.11","-11.59","-2.67","-14.26",NA
"106",1108,"Alcorn State",2014,"SWAC","12","19","64.0","67.8","-3.74","-9.27","-12.35","-3.60","-15.95",NA
"107",1108,"Alcorn State",2015,"SWAC","6","26","64.6","74.3","-9.72","-9.95","-8.09","-12.66","-20.75",NA
"108",1108,"Alcorn State",2016,"SWAC","15","15","67.1","72.1","-5.00","-9.94","-9.58","-6.43","-16.01",NA
"109",1108,"Alcorn State",2017,"SWAC","18","14","69.4","68.0","1.44","-10.95","-9.32","-3.00","-12.33",NA
"110",1109,"Alliant International",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",1110,"American",2003,"Patriot","16","14","66.4","61.9","4.47","-5.85","-4.24","2.86","-1.38",NA
"112",1110,"American",2004,"Patriot","18","13","67.5","65.0","2.45","-7.04","-4.12","-0.47","-4.59",NA
"113",1110,"American",2005,"Patriot","16","12","67.2","66.1","1.11","-4.30","-3.04","-0.15","-3.19",NA
"114",1110,"American",2006,"Patriot","12","17","63.8","68.0","-4.17","-4.32","-5.84","-2.65","-8.49",NA
"115",1110,"American",2007,"Patriot","16","14","64.8","62.2","2.67","-4.38","-4.30","1.62","-2.68",NA
"116",1110,"American",2008,"Patriot","21","12","64.8","62.1","2.76","-4.00","-4.60","2.73","-1.87",15
"117",1110,"American",2009,"Patriot","24","8","64.5","59.1","5.44","-5.49","-4.88","4.83","-0.05",14
"118",1110,"American",2010,"Patriot","11","20","62.6","67.2","-4.58","-6.89","-9.60","-1.87","-11.47",NA
"119",1110,"American",2011,"Patriot","22","9","66.2","63.6","2.52","-5.64","-5.70","2.57","-3.13",NA
"120",1110,"American",2012,"Patriot","20","12","64.3","62.2","2.13","-5.24","-5.69","2.57","-3.12",NA
"121",1110,"American",2013,"Patriot","10","20","57.8","63.9","-6.03","-2.53","-9.54","0.98","-8.56",NA
"122",1110,"American",2014,"Patriot","20","13","63.1","59.1","3.94","-3.25","-7.93","8.62","0.69",15
"123",1110,"American",2015,"Patriot","17","16","58.7","58.6","0.15","-3.71","-10.22","6.66","-3.56",NA
"124",1110,"American",2016,"Patriot","12","19","57.6","65.7","-8.10","-6.08","-17.98","3.80","-14.18",NA
"125",1110,"American",2017,"Patriot","8","22","61.5","68.3","-6.80","-3.50","-11.49","1.19","-10.30",NA
"126",1111,"Appalachian State",2003,"Southern (North)","19","10","83.9","79.6","4.31","-3.46","10.47","-12.39","-1.92",NA
"127",1111,"Appalachian State",2004,"Southern (North)","9","21","69.7","72.3","-2.63","-1.18","-2.56","-3.27","-5.83",NA
"128",1111,"Appalachian State",2005,"Southern (North)","18","12","73.1","69.0","4.07","-4.04","-0.91","-2.85","-3.76",NA
"129",1111,"Appalachian State",2006,"Southern (North)","14","16","70.0","70.4","-0.43","-4.79","-3.55","-4.06","-7.61",NA
"130",1111,"Appalachian State",2007,"Southern (North)","25","8","76.0","67.8","8.15","-1.19","4.50","0.18","4.68",NA
"131",1111,"Appalachian State",2008,"Southern (North)","18","13","71.4","69.3","2.16","-2.77","0.59","-1.30","-0.71",NA
"132",1111,"Appalachian State",2009,"Southern (North)","13","18","76.0","76.8","-0.81","-5.44","3.20","-11.64","-8.44",NA
"133",1111,"Appalachian State",2010,"Southern (North)","24","13","74.8","69.4","5.38","-2.76","3.45","-1.65","1.80",NA
"134",1111,"Appalachian State",2011,"Southern (North)","16","15","73.1","73.2","-0.13","-2.95","0.38","-5.19","-4.81",NA
"135",1111,"Appalachian State",2012,"Southern (North)","13","18","68.4","70.2","-1.74","-3.28","-2.65","-4.28","-6.93",NA
"136",1111,"Appalachian State",2013,"Southern (North)","15","16","71.3","71.6","-0.32","-5.77","0.36","-8.27","-7.91",NA
"137",1111,"Appalachian State",2014,"Southern","9","21","67.8","71.7","-3.93","-7.13","-10.14","-5.18","-15.32",NA
"138",1111,"Appalachian State",2015,"Sun Belt","12","17","63.5","70.1","-6.62","-3.18","-5.66","-4.15","-9.81",NA
"139",1111,"Appalachian State",2016,"Sun Belt","9","22","70.5","77.4","-6.81","-1.10","-1.64","-6.27","-7.91",NA
"140",1111,"Appalachian State",2017,"Sun Belt","9","21","73.6","76.0","-2.37","-1.60","-2.24","-6.43","-8.67",NA
"141",1112,"Arizona",2003,"Pac-10","28","4","85.2","70.7","14.47","8.95","18.20","5.22","23.42",1
"142",1112,"Arizona",2004,"Pac-10","20","10","87.1","78.5","8.67","6.63","20.16","-4.86","15.30",9
"143",1112,"Arizona",2005,"Pac-10","30","7","79.7","69.7","9.97","8.03","13.79","4.22","18.00",3
"144",1112,"Arizona",2006,"Pac-10","20","13","73.7","68.7","5.03","10.09","10.51","4.61","15.12",8
"145",1112,"Arizona",2007,"Pac-10","20","11","78.0","72.5","5.48","10.76","14.69","1.55","16.24",8
"146",1112,"Arizona",2008,"Pac-10","19","15","71.9","66.9","4.91","10.22","7.57","6.99","14.55",10
"147",1112,"Arizona",2009,"Pac-10","21","14","72.3","69.2","3.09","8.80","9.13","2.75","11.88",12
"148",1112,"Arizona",2010,"Pac-10","16","15","71.9","72.0","-0.13","8.10","7.46","0.51","7.97",NA
"149",1112,"Arizona",2011,"Pac-10","30","8","76.4","67.9","8.55","7.99","11.12","5.42","16.54",5
"150",1112,"Arizona",2012,"Pac-12","23","12","69.0","62.7","6.29","4.62","3.89","7.03","10.91",NA
"151",1112,"Arizona",2013,"Pac-12","27","8","73.4","63.6","9.83","7.47","10.24","7.06","17.30",6
"152",1112,"Arizona",2014,"Pac-12","33","5","72.9","58.6","14.32","9.04","7.31","16.05","23.36",1
"153",1112,"Arizona",2015,"Pac-12","34","4","76.6","59.7","16.92","7.41","13.24","11.09","24.33",2
"154",1112,"Arizona",2016,"Pac-12","25","9","80.4","68.9","11.56","7.23","10.88","7.90","18.79",6
"155",1112,"Arizona",2017,"Pac-12","32","5","76.6","65.9","10.62","7.63","7.47","10.79","18.25",2
"156",1113,"Arizona State",2003,"Pac-10","20","12","77.0","70.5","6.47","9.27","9.79","5.22","15.01",10
"157",1113,"Arizona State",2004,"Pac-10","10","17","74.1","76.6","-2.52","5.35","6.59","-3.76","2.83",NA
"158",1113,"Arizona State",2005,"Pac-10","18","14","76.0","72.2","3.84","5.36","9.15","0.06","9.21",NA
"159",1113,"Arizona State",2006,"Pac-10","11","17","67.1","69.9","-2.86","7.18","2.54","1.83","4.36",NA
"160",1113,"Arizona State",2007,"Pac-10","8","22","58.5","61.8","-3.27","7.95","-8.28","11.59","3.31",NA
"161",1113,"Arizona State",2008,"Pac-10","21","13","66.8","61.9","4.85","6.28","1.51","8.80","10.31",NA
"162",1113,"Arizona State",2009,"Pac-10","25","10","69.4","60.5","8.89","7.82","4.72","11.98","16.70",6
"163",1113,"Arizona State",2010,"Pac-10","22","11","66.7","58.7","8.00","5.83","1.61","12.19","13.80",NA
"164",1113,"Arizona State",2011,"Pac-10","12","19","64.0","66.9","-2.90","7.20","-1.63","5.93","4.30",NA
"165",1113,"Arizona State",2012,"Pac-12","10","21","61.0","66.3","-5.32","4.31","-3.55","2.54","-1.01",NA
"166",1113,"Arizona State",2013,"Pac-12","22","13","71.8","67.5","4.26","4.60","5.79","3.07","8.86",NA
"167",1113,"Arizona State",2014,"Pac-12","21","12","75.3","69.4","5.91","7.41","9.13","4.19","13.32",10
"168",1113,"Arizona State",2015,"Pac-12","18","16","69.4","66.6","2.85","6.66","6.69","2.83","9.52",NA
"169",1113,"Arizona State",2016,"Pac-12","15","17","73.3","74.0","-0.69","8.96","4.08","4.19","8.28",NA
"170",1113,"Arizona State",2017,"Pac-12","15","18","78.6","81.7","-3.09","7.11","8.35","-4.33","4.02",NA
"171",1114,"Arkansas-Little Rock",2003,"Sun Belt (East)","18","12","70.8","70.4","0.47","-0.91","-0.10","-0.84","-0.94",NA
"172",1114,"Arkansas-Little Rock",2004,"Sun Belt (East)","17","12","71.8","65.3","6.41","-3.97","-1.92","0.92","-1.00",NA
"173",1114,"Arkansas-Little Rock",2005,"Sun Belt (East)","18","10","67.5","66.8","0.75","0.90","-2.26","1.80","-0.46",NA
"174",1114,"Arkansas-Little Rock",2006,"Sun Belt (East)","14","15","64.2","65.5","-1.31","-3.14","-6.79","2.12","-4.67",NA
"175",1114,"Arkansas-Little Rock",2007,"Sun Belt (West)","13","17","66.0","69.2","-3.20","-5.56","-7.72","-2.14","-9.87",NA
"176",1114,"Arkansas-Little Rock",2008,"Sun Belt (West)","20","11","65.3","61.9","3.35","-4.26","-7.37","4.12","-3.26",NA
"177",1114,"Arkansas-Little Rock",2009,"Sun Belt (West)","23","8","66.4","63.4","3.06","-3.72","-2.83","2.17","-0.66",NA
"178",1114,"Arkansas-Little Rock",2010,"Sun Belt (West)","8","22","67.6","73.1","-5.53","-2.23","-3.44","-6.61","-10.06",NA
"179",1114,"Arkansas-Little Rock",2011,"Sun Belt (West)","19","17","68.3","67.4","0.86","-2.97","-3.48","-0.85","-4.32",16
"180",1114,"Arkansas-Little Rock",2012,"Sun Belt (West)","15","16","63.7","64.2","-0.52","0.03","-4.37","2.43","-1.94",NA
"181",1114,"Arkansas-Little Rock",2013,"Sun Belt (West)","17","15","66.5","66.6","-0.16","-2.23","-2.71","-1.65","-4.36",NA
"182",1114,"Arkansas-Little Rock",2014,"Sun Belt","15","17","71.5","74.1","-2.59","-1.09","-0.44","-4.95","-5.39",NA
"183",1114,"Arkansas-Little Rock",2015,"Sun Belt","13","18","69.2","70.3","-1.10","-3.81","0.14","-5.52","-5.38",NA
"184",1114,"Arkansas-Little Rock",2016,"Sun Belt","30","5","71.1","60.8","10.23","-1.76","-3.25","10.37","7.12",12
"185",1114,"Arkansas-Little Rock",2017,"Sun Belt","15","17","68.4","68.3","0.09","-3.80","-9.63","3.56","-6.07",NA
"186",1115,"Arkansas-Pine Bluff",2003,"SWAC","4","24","54.5","74.2","-19.68","-4.54","-18.37","-5.85","-24.22",NA
"187",1115,"Arkansas-Pine Bluff",2004,"SWAC","1","26","52.2","74.4","-22.15","-8.54","-19.78","-10.91","-30.69",NA
"188",1115,"Arkansas-Pine Bluff",2005,"SWAC","7","21","59.1","67.8","-8.71","-10.29","-14.34","-6.38","-20.71",NA
"189",1115,"Arkansas-Pine Bluff",2006,"SWAC","13","16","63.1","63.8","-0.76","-10.81","-13.13","0.65","-12.48",NA
"190",1115,"Arkansas-Pine Bluff",2007,"SWAC","12","19","60.1","65.2","-5.16","-10.86","-14.87","-2.34","-17.21",NA
"191",1115,"Arkansas-Pine Bluff",2008,"SWAC","13","18","60.3","64.5","-4.19","-12.56","-15.83","-1.97","-17.80",NA
"192",1115,"Arkansas-Pine Bluff",2009,"SWAC","13","18","62.7","70.6","-7.97","-7.48","-9.15","-6.30","-15.45",NA
"193",1115,"Arkansas-Pine Bluff",2010,"SWAC","18","16","63.7","64.3","-0.62","-7.68","-7.86","-0.43","-8.29",16
"194",1115,"Arkansas-Pine Bluff",2011,"SWAC","7","24","59.7","71.6","-11.97","-8.03","-11.44","-8.56","-20.00",NA
"195",1115,"Arkansas-Pine Bluff",2012,"SWAC","11","22","61.0","69.4","-8.42","-8.34","-8.82","-7.95","-16.77",NA
"196",1115,"Arkansas-Pine Bluff",2013,"SWAC","16","14","62.7","66.6","-3.93","-8.20","-7.67","-4.47","-12.13",NA
"197",1115,"Arkansas-Pine Bluff",2014,"SWAC","13","18","63.1","70.6","-7.45","-6.90","-11.11","-4.28","-15.39",NA
"198",1115,"Arkansas-Pine Bluff",2015,"SWAC","12","20","59.8","66.9","-7.03","-8.61","-11.47","-4.18","-15.65",NA
"199",1115,"Arkansas-Pine Bluff",2016,"SWAC","8","25","56.6","70.4","-13.79","-5.52","-17.45","-1.86","-19.31",NA
"200",1115,"Arkansas-Pine Bluff",2017,"SWAC","7","25","61.8","72.5","-10.72","-10.28","-17.08","-5.73","-22.81",NA
"201",1116,"Arkansas",2003,"SEC (West)","9","19","61.6","66.5","-4.89","9.57","-3.09","7.76","4.67",NA
"202",1116,"Arkansas",2004,"SEC (West)","12","16","68.9","68.6","0.25","6.28","2.66","3.87","6.53",NA
"203",1116,"Arkansas",2005,"SEC (West)","18","12","71.6","62.8","8.73","3.60","4.30","8.03","12.33",NA
"204",1116,"Arkansas",2006,"SEC (West)","22","10","73.7","64.9","8.84","6.17","7.91","7.10","15.01",8
"205",1116,"Arkansas",2007,"SEC (West)","21","14","71.1","66.0","5.03","8.75","5.51","8.26","13.77",12
"206",1116,"Arkansas",2008,"SEC (West)","23","12","74.1","68.3","5.74","6.73","6.67","5.81","12.48",9
"207",1116,"Arkansas",2009,"SEC (West)","14","16","74.6","73.8","0.83","3.89","5.98","-2.20","3.79",NA
"208",1116,"Arkansas",2010,"SEC (West)","14","18","74.7","73.9","0.78","5.09","8.28","-2.41","5.87",NA
"209",1116,"Arkansas",2011,"SEC (West)","18","13","70.7","66.7","3.94","2.34","3.86","2.42","6.28",NA
"210",1116,"Arkansas",2012,"SEC","18","14","71.8","69.7","2.13","3.63","7.24","-1.49","5.76",NA
"211",1116,"Arkansas",2013,"SEC","19","13","73.7","68.8","4.84","4.97","10.31","-0.49","9.82",NA
"212",1116,"Arkansas",2014,"SEC","22","12","80.1","71.3","8.76","5.57","13.25","1.09","14.34",NA
"213",1116,"Arkansas",2015,"SEC","27","9","77.4","70.1","7.28","6.79","13.97","0.10","14.07",5
"214",1116,"Arkansas",2016,"SEC","16","16","78.2","74.7","3.47","6.76","8.69","1.54","10.23",NA
"215",1116,"Arkansas",2017,"SEC","26","10","79.3","73.9","5.44","8.60","10.56","3.48","14.04",8
"216",1117,"Arkansas State",2003,"Sun Belt (East)","13","15","74.0","68.5","5.50","-1.37","2.47","-2.53","-0.06",NA
"217",1117,"Arkansas State",2004,"Sun Belt (East)","17","11","74.2","69.9","4.32","-4.42","1.91","-3.48","-1.57",NA
"218",1117,"Arkansas State",2005,"Sun Belt (East)","16","13","76.1","72.3","3.79","-1.86","3.37","-4.54","-1.17",NA
"219",1117,"Arkansas State",2006,"Sun Belt (East)","12","18","73.0","75.3","-2.33","-1.45","2.46","-7.94","-5.49",NA
"220",1117,"Arkansas State",2007,"Sun Belt (West)","15","15","79.7","79.2","0.57","-5.63","-1.19","-5.27","-6.47",NA
"221",1117,"Arkansas State",2008,"Sun Belt (West)","10","20","70.6","72.8","-2.23","-2.02","-0.65","-7.10","-7.75",NA
"222",1117,"Arkansas State",2009,"Sun Belt (West)","13","17","66.5","64.9","1.60","-4.31","-5.97","0.55","-5.42",NA
"223",1117,"Arkansas State",2010,"Sun Belt (West)","17","14","69.7","66.6","3.06","-4.39","-2.97","-1.04","-4.01",NA
"224",1117,"Arkansas State",2011,"Sun Belt (West)","17","15","68.4","64.6","3.81","-3.31","-3.67","0.29","-3.38",NA
"225",1117,"Arkansas State",2012,"Sun Belt (West)","14","20","64.6","65.9","-1.21","-0.52","-4.78","1.60","-3.18",NA
"226",1117,"Arkansas State",2013,"Sun Belt (West)","19","12","68.6","62.7","5.90","-4.36","-1.76","2.53","0.77",NA
