"","Season","TeamID","PPG","FGP","TPP","FTP","ORPG","DRPG","APG","TOPG","SPG","BPG","PFPG","PCT"
"57",2010,1105,63.826087,0.370342,0.282051,0.64139,13.956522,21.608696,9.695652,15.913043,9.391304,5.217391,20.652174,0.347826
"58",2011,1105,62.8,0.397133,0.285333,0.623902,11.88,24.68,11.6,15.88,8.56,5.28,20,0.4
"59",2012,1105,61.115385,0.40257,0.316397,0.651911,10.923077,22.538462,10.615385,16.269231,6.153846,4,22.461538,0.192308
"60",2013,1105,61.586207,0.394296,0.289256,0.627517,11.862069,23.448276,11.37931,14.172414,5.482759,3.344828,17.448276,0.310345
"61",2014,1105,63.821429,0.405514,0.323251,0.66343,9.821429,23.821429,12.535714,13.25,6.035714,4.071429,21.964286,0.428571
"62",2015,1105,61.285714,0.392809,0.290614,0.647635,12.428571,21.5,12.035714,14.142857,5.642857,2.357143,19.75,0.285714
"63",2016,1105,67.107143,0.413859,0.283019,0.682119,11.392857,23.035714,12.642857,11.75,5.607143,2.142857,19.357143,0.357143
"64",2017,1105,61.862069,0.402556,0.273523,0.666124,10.310345,21.862069,11.37931,13.241379,3.551724,1.793103,18.137931,0.068966
"65",2003,1106,63.607143,0.423773,0.346154,0.646421,12.285714,23.857143,11.678571,17.035714,8.357143,3.142857,18.178571,0.464286
"66",2004,1106,61.433333,0.422025,0.334004,0.65727,11.7,22.766667,10.266667,17.2,7.066667,3.133333,18.7,0.533333
"67",2005,1106,58.137931,0.379636,0.30137,0.653435,11.068966,22.448276,10.413793,15.413793,6.758621,2.034483,17.344828,0.5
"68",2006,1106,66.166667,0.40866,0.31127,0.627536,13.166667,22.466667,10.266667,15.866667,5.966667,2.766667,21.333333,0.4
"69",2007,1106,60.206897,0.363922,0.301786,0.640673,12.965517,21.448276,9.344828,14.103448,6.172414,2.724138,20.172414,0.310345
"70",2008,1106,71,0.457069,0.353183,0.646365,11.925926,25.666667,14.481481,13.222222,5.814815,3.777778,19.111111,0.62963
"71",2009,1106,69.482759,0.46516,0.328685,0.633391,11.413793,24.724138,14,13.758621,5.758621,4.758621,17.62069,0.689655
"72",2010,1106,64.035714,0.396529,0.310861,0.646539,13.357143,22.321429,12.642857,16.214286,7.464286,4.178571,20.821429,0.464286
"73",2011,1106,61.5625,0.397741,0.29222,0.608917,13.3125,22.28125,11.625,15.71875,7.3125,4.5625,22.3125,0.46875
"74",2012,1106,57.724138,0.372881,0.301038,0.574586,12.724138,22.137931,11.137931,14.965517,7.482759,3.034483,19.862069,0.344828
"75",2013,1106,61.483871,0.404243,0.306391,0.593583,12.387097,23.16129,11.483871,14.903226,6.16129,3.225806,18.741935,0.290323
"76",2014,1106,69.892857,0.414724,0.282732,0.683658,13,22.214286,12.071429,12.107143,6.678571,3.535714,18.428571,0.571429
"77",2015,1106,70.703704,0.434186,0.354023,0.654054,13.333333,25.925926,13.407407,13.703704,6.074074,4.185185,18,0.62963
"78",2016,1106,70.068966,0.399223,0.331683,0.693122,12.689655,24.586207,11.827586,12.068966,5.724138,3.793103,21.344828,0.413793
"79",2017,1106,65.566667,0.389326,0.294299,0.634146,13.9,24.5,9.466667,15.566667,4.866667,3,20.433333,0.233333
"80",2003,1107,65.928571,0.418272,0.357488,0.733509,8.25,20.25,11.928571,12.571429,6.857143,2.035714,15.892857,0.25
"81",2004,1107,57.892857,0.400536,0.296703,0.737913,10.214286,22.5,11.214286,15.75,6.714286,2.25,16.928571,0.178571
"82",2005,1107,67.357143,0.4375,0.379085,0.722317,11.071429,22.678571,13.071429,14.785714,8.035714,2.428571,17.285714,0.464286
"83",2006,1107,68.870968,0.447139,0.381533,0.709199,11,22.967742,12.612903,14.16129,6.387097,2.580645,19.096774,0.677419
"84",2007,1107,68.25,0.455399,0.376936,0.722028,11,22.96875,13.125,13.375,5.90625,2.4375,19.21875,0.71875
"85",2008,1107,68.266667,0.437576,0.345382,0.72605,12.433333,25.033333,12.333333,14.266667,5.333333,2.433333,20.466667,0.5
"86",2009,1107,64,0.417396,0.294118,0.718644,13.709677,25.193548,11.83871,15.290323,5.16129,2.032258,20.193548,0.483871
"87",2010,1107,62.71875,0.408986,0.331624,0.721101,12.46875,23.65625,11.875,16.15625,5.84375,3.03125,18.8125,0.21875
"88",2011,1107,62.90625,0.424136,0.377179,0.64497,11.75,24.34375,11.59375,12.84375,4.6875,2.8125,15.78125,0.5
"89",2012,1107,71.939394,0.445415,0.359014,0.754074,11.878788,22.909091,12.30303,12.515152,5.515152,2.818182,16.969697,0.575758
"90",2013,1107,64.411765,0.4375,0.364286,0.733918,9.852941,23.735294,11.176471,13.382353,5.441176,2.029412,16.029412,0.705882
"91",2014,1107,66.03125,0.439144,0.364269,0.748201,10.34375,24.21875,11.0625,12.625,5.53125,3.0625,17.25,0.5625
"92",2015,1107,65.5,0.439875,0.360146,0.760938,10,23.625,10.4375,11.6875,5.65625,1.625,16.5,0.75
"93",2016,1107,74.612903,0.455925,0.323583,0.749347,11.709677,26.516129,12.451613,12.709677,6.483871,1.580645,17.580645,0.741935
"94",2017,1107,71.030303,0.467475,0.36853,0.762987,10.636364,24.454545,12.575758,11.878788,5.121212,1.69697,17.848485,0.606061
"95",2003,1108,69.090909,0.424665,0.319109,0.668596,13.121212,23.212121,13.848485,18.454545,8.181818,3.515152,19.666667,0.424242
"96",2004,1108,63.965517,0.425,0.35141,0.677365,11.344828,21.827586,11.344828,19.310345,6.172414,2.137931,19.448276,0.37931
"97",2005,1108,57.178571,0.374916,0.278481,0.594915,11.071429,22.285714,11.035714,19.857143,7.464286,3.464286,22.892857,0.214286
"98",2006,1108,66,0.42228,0.323194,0.65614,11.321429,24.321429,12.035714,18.285714,6.964286,3.035714,21.892857,0.285714
"99",2007,1108,66,0.408313,0.276074,0.676336,12.448276,23.137931,9.068966,18.758621,6.517241,2.62069,24.068966,0.344828
"100",2008,1108,67.034483,0.414842,0.345238,0.691652,11.586207,20.965517,9.517241,17.172414,6.482759,1.551724,21.896552,0.206897
"101",2009,1108,69.285714,0.395185,0.3371,0.674797,9.857143,21.285714,10.607143,15.071429,8.392857,1.714286,19.464286,0.142857
"102",2010,1108,60.645161,0.37915,0.308924,0.611034,11.483871,22.870968,8.677419,20.709677,6.903226,3.16129,21.612903,0.064516
"103",2011,1108,65.642857,0.36899,0.32312,0.632522,10.535714,24.892857,9.107143,16.892857,7.785714,3.678571,21.785714,0.142857
"104",2012,1108,60,0.406699,0.297082,0.689781,8.857143,20.857143,9.285714,15.964286,6.607143,3.321429,19.642857,0.25
"105",2013,1108,59.125,0.379014,0.292776,0.625564,10,22.625,8.9375,15.25,6.4375,3.8125,19.9375,0.28125
"106",2014,1108,61.928571,0.410048,0.300971,0.659016,9.607143,20.714286,8.928571,11.607143,5.428571,3.714286,18.892857,0.321429
"107",2015,1108,63.366667,0.387886,0.284047,0.656832,11.3,20.6,8.7,11.666667,5.866667,2.7,17.966667,0.166667
"108",2016,1108,66.571429,0.403531,0.309392,0.683087,12.892857,23.178571,9.071429,14.357143,4.464286,3.892857,18.428571,0.464286
"109",2017,1108,67.655172,0.422501,0.319865,0.656934,11.793103,25.896552,12.413793,14.068966,6.310345,3.275862,19.241379,0.517241
"110",2003,1110,66.366667,0.432752,0.378963,0.681452,10,23.133333,14.233333,13.166667,6.4,1.733333,18.133333,0.533333
"111",2004,1110,67.833333,0.445003,0.371324,0.671498,11.033333,23.5,13.366667,14.4,7.733333,2.233333,18.366667,0.580645
"112",2005,1110,67.178571,0.451827,0.366255,0.713098,10.035714,25.214286,12.892857,15,6.571429,2.785714,17.928571,0.571429
"113",2006,1110,63.793103,0.416402,0.339506,0.690608,12.62069,22.103448,13.068966,15.586207,6.551724,3.068966,18.896552,0.413793
"114",2007,1110,64.833333,0.42803,0.342629,0.729021,10.433333,24.133333,13.466667,13.8,5.766667,2.366667,18.733333,0.533333
"115",2008,1110,65.09375,0.442773,0.409462,0.74339,9.46875,22.5625,11.90625,13.625,4.59375,2.625,17.53125,0.65625
"116",2009,1110,64.451613,0.466495,0.376712,0.64833,9.516129,23.451613,13.064516,13.225806,5.419355,2.516129,17.935484,0.774194
"117",2010,1110,62.612903,0.424828,0.344569,0.691769,9.806452,25.580645,14.419355,14.774194,3.516129,2.612903,19.032258,0.354839
"118",2011,1110,66.16129,0.446941,0.337522,0.718333,9.290323,24.387097,13.870968,11.16129,4.096774,2.774194,18,0.709677
"119",2012,1110,64.451613,0.428216,0.400729,0.716846,8.451613,23.903226,12.612903,11.096774,4.451613,2.741935,17.193548,0.645161
"120",2013,1110,57.833333,0.413146,0.361963,0.708696,9,23.433333,11.6,12.133333,3.366667,2.5,14.366667,0.333333
"121",2014,1110,63.9375,0.494631,0.382298,0.709615,7.125,22.9375,15.125,13.96875,6.03125,3.4375,17.21875,0.625
"122",2015,1110,58.727273,0.461799,0.37303,0.705305,5.69697,19.393939,12.363636,11.212121,5.939394,2.545455,14.666667,0.515152
"123",2016,1110,57.580645,0.424344,0.340909,0.696391,7.032258,21.16129,11.225806,13.806452,5.677419,2.225806,18.290323,0.387097
"124",2017,1110,61.5,0.448768,0.31758,0.618143,6.8,22.133333,11.3,13.2,6.966667,2.433333,18.3,0.266667
"125",2003,1111,83.269231,0.443649,0.327496,0.71953,13,25.307692,15.230769,16.192308,9.846154,4.615385,18.692308,0.615385
"126",2004,1111,68.931034,0.407572,0.326014,0.640449,13.344828,21.068966,14.310345,16.62069,10.37931,4.448276,20.37931,0.275862
"127",2005,1111,71.518519,0.43435,0.349922,0.65678,12.148148,23.074074,15.555556,15,9.074074,4.62963,17.555556,0.555556
"128",2006,1111,68.142857,0.420243,0.352025,0.710173,12.035714,21.428571,13.428571,15.428571,7.5,3.607143,19.214286,0.428571
"129",2007,1111,74.793103,0.477576,0.372213,0.686131,11.551724,22.793103,15.206897,14.724138,8.034483,3.62069,18.310345,0.758621
"130",2008,1111,71.066667,0.473684,0.385399,0.684669,9.833333,24.966667,13.5,15.133333,6.1,4.733333,17.233333,0.566667
"131",2009,1111,74.8,0.447507,0.369028,0.704708,13.066667,25.666667,12.666667,17.7,6.033333,3.333333,20.2,0.4
"132",2010,1111,73.258065,0.473555,0.395349,0.747801,10.774194,27.16129,11.193548,15.032258,5.387097,2.903226,17.741935,0.645161
"133",2011,1111,71.482759,0.449907,0.334586,0.712698,10.172414,23.206897,10.137931,12.689655,5.655172,2.655172,17.344828,0.482759
"134",2012,1111,67.241379,0.440154,0.344262,0.659396,10.275862,23.862069,11.758621,14.172414,5.517241,3.689655,19.689655,0.37931
"135",2013,1111,70.827586,0.438607,0.364522,0.694042,10.655172,23.689655,11.275862,13.448276,6.37931,3.62069,18.896552,0.448276
"136",2014,1111,64.153846,0.400412,0.293689,0.63606,12.807692,22.115385,9.807692,12.576923,6,2.576923,20.230769,0.192308
"137",2015,1111,63.482759,0.397628,0.316327,0.708178,11.37931,23.448276,10.965517,13.724138,4.206897,2.103448,19,0.413793
"138",2016,1111,70.548387,0.400557,0.355556,0.703281,12.677419,24.096774,11.548387,14.903226,4.096774,3.322581,21.516129,0.290323
"139",2017,1111,70.464286,0.406193,0.326501,0.67541,11.214286,25.392857,12.75,13.928571,5.035714,2.785714,21.857143,0.25
"140",2003,1112,85.214286,0.461413,0.350534,0.701429,15.178571,27.642857,17.642857,14.785714,8.464286,4.214286,17.75,0.892857
"141",2004,1112,87.517241,0.484881,0.384201,0.786054,13.896552,25.689655,18.896552,14.965517,6.965517,4.551724,16.068966,0.689655
"142",2005,1112,79.666667,0.470848,0.402135,0.778317,13.727273,23.272727,16.575758,14.848485,8.242424,3.575758,16.454545,0.818182
"143",2006,1112,72.935484,0.442237,0.315789,0.700321,13.612903,20.903226,14.774194,13.483871,9.870968,3.774194,16.483871,0.612903
"144",2007,1112,78.466667,0.47993,0.342857,0.74548,12.366667,25.166667,16.2,13.733333,6,3.233333,13.4,0.666667
"145",2008,1112,71.5625,0.475646,0.395872,0.7429,8.34375,22.6875,15.34375,12.21875,5.625,3.59375,16.5,0.5625
"146",2009,1112,72.1875,0.474566,0.39521,0.734375,11.09375,22.75,14.4375,12.59375,5.96875,3.0625,15.625,0.59375
"147",2010,1112,71.903226,0.443189,0.357934,0.732527,9.741935,24.516129,12.387097,14.064516,6,2.516129,19.193548,0.516129
"148",2011,1112,76.529412,0.470588,0.399408,0.746601,10.411765,24.176471,14.088235,12.852941,5.029412,2.647059,18.617647,0.794118
"149",2012,1112,69.470588,0.441043,0.38009,0.703046,10.088235,25.470588,13.529412,12.470588,5.617647,3.5,16.794118,0.676471
"150",2013,1112,73.28125,0.449747,0.362963,0.747748,11.53125,24.71875,13.84375,13.09375,6.9375,3.90625,16.34375,0.78125
"151",2014,1112,73.058824,0.468487,0.356436,0.654912,12.588235,26.294118,15.088235,10.441176,5.882353,4.235294,16.441176,0.882353
"152",2015,1112,76.441176,0.489488,0.359833,0.699085,10.823529,26.411765,14.205882,11.205882,7.176471,3.588235,17.911765,0.911765
"153",2016,1112,81.212121,0.48179,0.382562,0.722877,11.636364,28.606061,14.515152,12.818182,4.909091,4.787879,18.212121,0.757576
"154",2017,1112,76.264706,0.475707,0.397569,0.757812,10.294118,26.470588,13.794118,11.441176,5.5,3.235294,16.970588,0.882353
"155",2003,1113,75.965517,0.478182,0.317808,0.669737,13.689655,23.310345,15.551724,14,5.206897,4.241379,19.413793,0.62069
"156",2004,1113,74.074074,0.431242,0.33682,0.735215,12.111111,23.481481,15.777778,15.111111,5.555556,3.185185,20.925926,0.37037
"157",2005,1113,75.967742,0.452086,0.354892,0.715047,12.806452,23.806452,16.451613,14.677419,6.387097,3.645161,18.741935,0.580645
"158",2006,1113,67.071429,0.430921,0.37799,0.721831,11.071429,22.035714,14.392857,15.071429,6.428571,3.214286,20.071429,0.392857
"159",2007,1113,58.137931,0.408081,0.312605,0.66055,11.827586,20.655172,12.862069,14.275862,5.862069,2,17.931034,0.241379
"160",2008,1113,67.258065,0.465438,0.356098,0.740984,8.129032,22.096774,14.419355,12.774194,7.193548,3.096774,16.193548,0.612903
"161",2009,1113,69.545455,0.481595,0.366255,0.739903,8.424242,22.909091,15.606061,11.515152,5.909091,2.090909,15.909091,0.727273
"162",2010,1113,66.75,0.450968,0.367978,0.709571,8.6875,23.1875,13.875,11.65625,6.65625,2.5,16.5,0.6875
"163",2011,1113,63.967742,0.42951,0.350877,0.627572,9.354839,22.612903,14.935484,12.225806,6.322581,3.709677,18.516129,0.387097
"164",2012,1113,61,0.454482,0.364185,0.676768,8.451613,23,12.16129,16.290323,5.580645,3.967742,17.677419,0.322581
"165",2013,1113,71,0.457235,0.341108,0.632148,9.454545,26.393939,14.030303,12.272727,6.393939,6.151515,15.272727,0.636364
"166",2014,1113,75.03125,0.450445,0.38633,0.693634,8.4375,27.1875,14.1875,11.46875,5.15625,5.65625,19.28125,0.65625
"167",2015,1113,69.4375,0.444444,0.348243,0.668478,10.71875,23.875,12.9375,13.875,5.90625,2.28125,18.9375,0.53125
"168",2016,1113,73.28125,0.414799,0.335979,0.687328,12.3125,24.46875,12.65625,12,5.3125,2.6875,20.4375,0.46875
"169",2017,1113,78.575758,0.433806,0.366071,0.748851,9.212121,23.424242,13.030303,10.424242,5.878788,3.212121,16.909091,0.454545
"170",2003,1114,70.035714,0.448322,0.371094,0.692675,10.535714,22.857143,11.5,15.964286,6.607143,2.357143,20.5,0.571429
"171",2004,1114,69.884615,0.435449,0.321782,0.71553,12.692308,22.846154,11.538462,15.615385,6.153846,3.076923,20.730769,0.538462
"172",2005,1114,66.52,0.449883,0.361194,0.730038,10.12,22.32,12.32,14.96,6.44,3.08,19.56,0.6
"173",2006,1114,64.071429,0.410343,0.315927,0.686454,13.5,21.178571,14.035714,15.75,7.75,2.5,18.071429,0.464286
"174",2007,1114,65.37931,0.423529,0.318091,0.666667,13.517241,21.965517,12.724138,14.931034,5.103448,2.310345,18.448276,0.413793
"175",2008,1114,64.103448,0.422787,0.345291,0.664326,11.827586,23.827586,12.413793,16.517241,6.413793,3.206897,20.827586,0.62069
"176",2009,1114,66.419355,0.447451,0.357303,0.670407,10.806452,24,13.032258,15.032258,5.516129,3.483871,19.612903,0.741935
"177",2010,1114,66.071429,0.41891,0.378319,0.697151,9.607143,23.571429,11.392857,13.464286,4.714286,2.535714,20.142857,0.214286
"178",2011,1114,66.272727,0.413577,0.397482,0.694482,10.30303,22.181818,11.030303,11.636364,5.69697,2.363636,20.727273,0.515152
"179",2012,1114,62.4,0.397105,0.332627,0.696923,9.7,23.2,9.9,12.433333,6.333333,3.1,19.733333,0.466667
"180",2013,1114,65.677419,0.417064,0.338395,0.674126,11.258065,22.709677,11.387097,15.451613,6.516129,3.709677,20,0.516129
"181",2014,1114,70.333333,0.417928,0.311159,0.741935,11.366667,25.033333,11.2,13.4,5.766667,3.8,21.9,0.433333
"182",2015,1114,68.966667,0.415403,0.339869,0.709416,10.466667,23.566667,12.1,10.466667,5.7,2.633333,19.1,0.4
"183",2016,1114,70,0.45565,0.388792,0.732558,8.7,24.1,13,10.266667,6.233333,3.1,18.533333,0.870968
"184",2017,1114,66.366667,0.433558,0.338182,0.736742,9.5,23.166667,11.4,12.9,5.733333,3.633333,18.233333,0.433333
"185",2003,1115,54.5,0.354605,0.28178,0.638945,9.964286,21.035714,10.178571,19.107143,7.964286,2.75,20.25,0.142857
"186",2004,1115,52.222222,0.344108,0.279261,0.637975,10.814815,23.851852,9.962963,19.222222,5.518519,2.444444,21.037037,0.037037
"187",2005,1115,58.192308,0.381081,0.274939,0.653846,11.307692,24,11.423077,16.807692,6.846154,4.769231,17.884615,0.192308
"188",2006,1115,61.333333,0.399207,0.309302,0.674518,9.851852,25.037037,10.814815,15.666667,7.592593,4.333333,19.222222,0.407407
"189",2007,1115,58.655172,0.394201,0.275,0.608949,11.482759,25,9.586207,15.448276,6,4.034483,18.413793,0.344828
"190",2008,1115,58.965517,0.394243,0.310838,0.619543,10.793103,23.827586,10.827586,13.931034,5.206897,4.862069,17.965517,0.37931
"191",2009,1115,62.677419,0.401018,0.287703,0.617874,14.387097,23.645161,10.935484,19.516129,8.741935,2.709677,22.677419,0.419355
"192",2010,1115,64.40625,0.411065,0.303944,0.663438,12.59375,25.625,12.53125,16.9375,6.84375,3.4375,22.78125,0.53125
"193",2011,1115,59.677419,0.389441,0.343525,0.626935,9.645161,22.193548,11.516129,16.709677,7.548387,2.16129,20.935484,0.225806
"194",2012,1115,61,0.413005,0.299587,0.636996,11.030303,22.454545,11.121212,14.878788,6.969697,4,18.212121,0.333333
"195",2013,1115,62.666667,0.400117,0.302281,0.630551,11.7,22.633333,12.733333,14.433333,9.9,3.3,17.766667,0.533333
"196",2014,1115,62.896552,0.409934,0.340909,0.654839,10.103448,20.413793,11.482759,15.068966,9.482759,2.137931,19.482759,0.37931
"197",2015,1115,59.75,0.400488,0.332242,0.679795,10.15625,18.78125,10.09375,15.28125,8.84375,3.375,19.46875,0.375
"198",2016,1115,56.575758,0.391405,0.303303,0.61079,9.757576,20.666667,9.606061,15.636364,7.121212,3.757576,21.939394,0.242424
"199",2017,1115,60.666667,0.39888,0.344464,0.648956,10.466667,20.6,10.033333,17.933333,8.5,2.7,22.466667,0.2
"200",2003,1116,61.642857,0.392674,0.310219,0.609489,14.535714,23.428571,9.821429,16.678571,6.464286,3.535714,20.928571,0.321429
"201",2004,1116,68.857143,0.416206,0.314136,0.679376,13.035714,21.5,12.964286,13.785714,7.857143,3.857143,19.821429,0.428571
"202",2005,1116,71.566667,0.456856,0.372188,0.662975,12.3,21.766667,14.5,14.233333,8.733333,5.2,18.466667,0.6
"203",2006,1116,74.322581,0.459218,0.339731,0.693966,12.193548,22.83871,15.548387,13.387097,8.451613,6.129032,16.935484,0.709677
"204",2007,1116,71.848485,0.467859,0.362039,0.702432,11.090909,24.454545,15.272727,15.424242,6.909091,6.454545,17.424242,0.617647
"205",2008,1116,74.15625,0.466341,0.345946,0.673945,13.03125,23.90625,14.75,15.46875,7.0625,5.25,18.96875,0.666667
"206",2009,1116,74.6,0.437672,0.332237,0.650957,12.7,24.933333,13,13.966667,7.566667,2.866667,17.166667,0.466667
